"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"5","秋田県","5201","秋田市","52010158000","下北手柳館","39.715311","140.174438","0","1"
"5","秋田県","5201","秋田市","52010159000","下新城青崎","39.807955","140.086562","0","1"
"5","秋田県","5201","秋田市","52010160000","下新城岩城","39.788644","140.093452","0","1"
"5","秋田県","5201","秋田市","52010161000","下新城小友","39.812926","140.11776","0","1"
"5","秋田県","5201","秋田市","52010162000","下新城笠岡","39.79542","140.078214","0","1"
"5","秋田県","5201","秋田市","52010163000","下新城長岡","39.808018","140.070195","0","1"
"5","秋田県","5201","秋田市","52010164000","下新城中野","39.799532","140.054596","0","1"
"5","秋田県","5201","秋田市","52010165000","下浜桂根","39.644212","140.078483","0","1"
"5","秋田県","5201","秋田市","52010166000","下浜長浜","39.62577","140.080543","0","1"
"5","秋田県","5201","秋田市","52010167000","下浜楢田","39.625355","140.145583","0","1"
"5","秋田県","5201","秋田市","52010168000","下浜八田","39.616139","140.126708","0","1"
"5","秋田県","5201","秋田市","52010169000","下浜羽川","39.601166","140.082381","0","1"
"5","秋田県","5201","秋田市","52010170000","下浜名ケ沢","39.587411","140.129185","0","1"
"5","秋田県","5201","秋田市","52010171000","将軍野青山町","39.761768","140.089882","0","1"
"5","秋田県","5201","秋田市","52010172000","将軍野桂町","39.756217","140.091031","0","1"
"5","秋田県","5201","秋田市","52010173000","将軍野堰越","39.762293","140.092274","0","1"
"5","秋田県","5201","秋田市","52010174001","将軍野東一丁目","39.754954","140.08422","0","3"
"5","秋田県","5201","秋田市","52010174002","将軍野東二丁目","39.751969","140.08716","0","3"
"5","秋田県","5201","秋田市","52010174003","将軍野東三丁目","39.757031","140.087861","0","3"
"5","秋田県","5201","秋田市","52010174004","将軍野東四丁目","39.759844","140.086464","0","3"
"5","秋田県","5201","秋田市","52010175001","将軍野南一丁目","39.744475","140.081774","0","3"
"5","秋田県","5201","秋田市","52010175002","将軍野南二丁目","39.744892","140.086716","0","3"
"5","秋田県","5201","秋田市","52010175003","将軍野南三丁目","39.748024","140.08276","0","3"
"5","秋田県","5201","秋田市","52010175004","将軍野南四丁目","39.745714","140.088927","0","3"
"5","秋田県","5201","秋田市","52010175005","将軍野南五丁目","39.749281","140.085281","0","3"
"5","秋田県","5201","秋田市","52010176000","将軍野向山","39.750633","140.090224","0","1"
"5","秋田県","5201","秋田市","52010177000","新藤田","39.741624","140.135202","0","1"
"5","秋田県","5201","秋田市","52010178000","千秋北の丸","39.725458","140.12528","0","1"
"5","秋田県","5201","秋田市","52010179000","千秋久保田町","39.719487","140.127261","0","1"
"5","秋田県","5201","秋田市","52010180000","千秋公園","39.722074","140.124087","0","1"
"5","秋田県","5201","秋田市","52010181000","千秋城下町","39.723036","140.12824","0","1"
"5","秋田県","5201","秋田市","52010182000","千秋中島町","39.727053","140.122495","0","1"
"5","秋田県","5201","秋田市","52010183000","千秋明徳町","39.719069","140.121857","0","1"
"5","秋田県","5201","秋田市","52010184000","千秋矢留町","39.723012","140.120802","0","1"
"5","秋田県","5201","秋田市","52010185000","添川","39.759997","140.149141","0","1"
"5","秋田県","5201","秋田市","52010186000","外旭川","39.7577","140.108839","0","1"
"5","秋田県","5201","秋田市","52010187001","外旭川八幡田一丁目","39.743493","140.107526","0","3"
"5","秋田県","5201","秋田市","52010187002","外旭川八幡田二丁目","39.743871","140.104289","0","3"
"5","秋田県","5201","秋田市","52010188001","外旭川八柳一丁目","39.744133","140.101003","0","3"
"5","秋田県","5201","秋田市","52010188002","外旭川八柳二丁目","39.746512","140.101604","0","3"
"5","秋田県","5201","秋田市","52010188003","外旭川八柳三丁目","39.747035","140.096765","0","3"
